id,order,size,cr,lambda_2,lambda_2_mult,lcr,ucr,lambda_n,lambda_n_mult,edge_orbits,vertex_orbits,group_size,bipartite,regular,1_walk_regular
28,4,5,False,2.0,1,False,True,4.0,2,2.0,2.0,4.0,0.0,0.0,False
276,5,7,False,2.0,2,False,True,5.0,2,2.0,2.0,12.0,0.0,0.0,False
442,5,8,False,3.0,2,False,True,5.0,2,2.0,2.0,8.0,0.0,0.0,False
450,5,9,False,3.0,1,False,True,5.0,3,2.0,2.0,12.0,0.0,0.0,False
100,6,12,False,3.0,2,False,True,6.0,3,2.0,2.0,36.0,0.0,0.0,False
230,6,14,False,4.0,1,False,True,6.0,4,2.0,2.0,48.0,0.0,0.0,False
476,6,9,False,2.0,3,False,True,6.0,2,2.0,2.0,48.0,0.0,0.0,False
730,6,11,False,3.0,2,False,True,6.0,2,3.0,3.0,12.0,0.0,0.0,False
760,6,13,False,4.0,2,False,True,6.0,3,3.0,2.0,16.0,0.0,0.0,False
54,7,18,False,5.0,3,False,True,7.0,3,2.0,2.0,48.0,0.0,0.0,False
56,7,20,False,5.0,1,False,True,7.0,5,2.0,2.0,240.0,0.0,0.0,False
468,7,15,False,3.0,3,False,True,7.0,3,2.0,2.0,144.0,0.0,0.0,False
580,7,11,False,2.0,4,False,True,7.0,2,2.0,2.0,240.0,0.0,0.0,False
688,7,16,False,4.0,2,False,True,7.0,2,2.0,2.0,48.0,0.0,0.0,False
690,7,18,False,4.0,2,False,True,7.0,4,2.0,2.0,144.0,0.0,0.0,False
724,7,19,False,5.0,2,False,True,7.0,4,3.0,2.0,48.0,0.0,0.0,False
910,7,15,False,4.0,4,False,True,7.0,2,2.0,2.0,72.0,0.0,0.0,False
1306,7,12,False,2.585786,3,False,True,5.414214,3,3.0,3.0,6.0,0.0,0.0,False
21234,7,14,False,3.0,3,False,True,7.0,2,3.0,3.0,48.0,0.0,0.0,False
21252,7,12,False,2.0,2,True,False,7.0,1,2.0,2.0,12.0,0.0,0.0,False
48,8,8,False,0.585786,2,True,False,5.236068,1,2.0,2.0,8.0,1.0,0.0,False
108,8,21,False,5.0,4,False,True,8.0,2,2.0,2.0,144.0,0.0,0.0,False
114,8,25,False,5.0,2,False,True,8.0,5,2.0,2.0,720.0,0.0,0.0,False
