id,order,size,cr,lambda_2,lambda_2_mult,lcr,ucr,lambda_n,lambda_n_mult,edge_orbits,vertex_orbits,group_size,bipartite,regular,1_walk_regular
19655,2,1,True,2.0,1,True,True,2.0,1,1.0,1.0,2.0,1.0,1.0,True
1374,3,3,True,3.0,2,True,True,3.0,2,1.0,1.0,6.0,0.0,1.0,True
32234,3,2,True,1.0,1,True,True,3.0,1,1.0,2.0,2.0,1.0,0.0,False
28,4,5,False,2.0,1,False,True,4.0,2,2.0,2.0,4.0,0.0,0.0,False
74,4,6,True,4.0,3,True,True,4.0,3,1.0,1.0,24.0,0.0,1.0,True
500,4,3,True,1.0,2,True,True,4.0,1,1.0,2.0,6.0,1.0,0.0,False
674,4,4,True,2.0,2,True,True,4.0,1,1.0,1.0,8.0,1.0,1.0,True
264,5,6,True,2.0,2,True,True,5.0,1,1.0,2.0,12.0,1.0,0.0,False
276,5,7,False,2.0,2,False,True,5.0,2,2.0,2.0,12.0,0.0,0.0,False
340,5,5,True,1.381966,2,True,True,3.618034,2,1.0,1.0,10.0,0.0,1.0,True
442,5,8,False,3.0,2,False,True,5.0,2,2.0,2.0,8.0,0.0,0.0,False
450,5,9,False,3.0,1,False,True,5.0,3,2.0,2.0,12.0,0.0,0.0,False
462,5,10,True,5.0,4,True,True,5.0,4,1.0,1.0,120.0,0.0,1.0,True
544,5,4,True,1.0,3,True,True,5.0,1,1.0,2.0,24.0,1.0,0.0,False
84,6,9,True,3.0,4,True,True,6.0,1,1.0,1.0,72.0,1.0,1.0,True
100,6,12,False,3.0,2,False,True,6.0,3,2.0,2.0,36.0,0.0,0.0,False
226,6,12,True,4.0,3,True,True,6.0,2,1.0,1.0,48.0,0.0,1.0,True
230,6,14,False,4.0,1,False,True,6.0,4,2.0,2.0,48.0,0.0,0.0,False
232,6,15,True,6.0,5,True,True,6.0,5,1.0,1.0,720.0,0.0,1.0,True
476,6,9,False,2.0,3,False,True,6.0,2,2.0,2.0,48.0,0.0,0.0,False
598,6,5,True,1.0,4,True,True,6.0,1,1.0,2.0,120.0,1.0,0.0,False
670,6,6,True,1.0,2,True,True,4.0,1,1.0,1.0,12.0,1.0,1.0,True
730,6,11,False,3.0,2,False,True,6.0,2,3.0,3.0,12.0,0.0,0.0,False
760,6,13,False,4.0,2,False,True,6.0,3,3.0,2.0,16.0,0.0,0.0,False
812,6,8,True,2.0,3,True,True,6.0,1,1.0,2.0,48.0,1.0,0.0,False
54,7,18,False,5.0,3,False,True,7.0,3,2.0,2.0,48.0,0.0,0.0,False
56,7,20,False,5.0,1,False,True,7.0,5,2.0,2.0,240.0,0.0,0.0,False
58,7,21,True,7.0,6,True,True,7.0,6,1.0,1.0,5040.0,0.0,1.0,True
466,7,12,True,3.0,3,True,True,7.0,1,1.0,2.0,144.0,1.0,0.0,False
468,7,15,False,3.0,3,False,True,7.0,3,2.0,2.0,144.0,0.0,0.0,False
520,7,7,True,0.75302,2,True,True,3.801938,2,1.0,1.0,14.0,0.0,1.0,True
580,7,11,False,2.0,4,False,True,7.0,2,2.0,2.0,240.0,0.0,0.0,False
622,7,6,True,1.0,5,True,True,7.0,1,1.0,2.0,720.0,1.0,0.0,False
688,7,16,False,4.0,2,False,True,7.0,2,2.0,2.0,48.0,0.0,0.0,False
690,7,18,False,4.0,2,False,True,7.0,4,2.0,2.0,144.0,0.0,0.0,False
724,7,19,False,5.0,2,False,True,7.0,4,3.0,2.0,48.0,0.0,0.0,False
866,7,10,True,2.0,4,True,True,7.0,1,1.0,2.0,240.0,1.0,0.0,False
910,7,15,False,4.0,4,False,True,7.0,2,2.0,2.0,72.0,0.0,0.0,False
1306,7,12,False,2.585786,3,False,True,5.414214,3,3.0,3.0,6.0,0.0,0.0,False
21234,7,14,False,3.0,3,False,True,7.0,2,3.0,3.0,48.0,0.0,0.0,False
21252,7,12,False,2.0,2,True,False,7.0,1,2.0,2.0,12.0,0.0,0.0,False
48,8,8,False,0.585786,2,True,False,5.236068,1,2.0,2.0,8.0,1.0,0.0,False
108,8,21,False,5.0,4,False,True,8.0,2,2.0,2.0,144.0,0.0,0.0,False
114,8,25,False,5.0,2,False,True,8.0,5,2.0,2.0,720.0,0.0,0.0,False
176,8,24,True,6.0,4,True,True,8.0,3,1.0,1.0,384.0,0.0,1.0,True
178,8,27,False,6.0,1,False,True,8.0,6,2.0,2.0,1440.0,0.0,0.0,False
180,8,28,True,8.0,7,True,True,8.0,7,1.0,1.0,40320.0,0.0,1.0,True
474,8,8,True,0.585786,2,True,True,4.0,1,1.0,1.0,16.0,1.0,1.0,True
570,8,16,True,4.0,6,True,True,8.0,1,1.0,1.0,1152.0,1.0,1.0,True
572,8,22,False,4.0,3,False,True,8.0,4,2.0,2.0,576.0,0.0,0.0,False
648,8,7,True,1.0,6,True,True,8.0,1,1.0,2.0,5040.0,1.0,0.0,False
664,8,13,False,2.0,5,False,True,8.0,2,2.0,2.0,1440.0,0.0,0.0,False
680,8,18,False,3.0,4,False,True,8.0,3,2.0,2.0,720.0,0.0,0.0,False
1022,8,12,True,2.0,3,True,True,6.0,1,1.0,1.0,48.0,1.0,1.0,True
19176,8,18,False,3.0,2,True,False,8.0,1,2.0,2.0,24.0,0.0,0.0,False
21609,8,23,False,5.0,2,False,True,8.0,3,4.0,3.0,48.0,0.0,0.0,False
35477,8,12,False,1.0,1,True,False,6.561553,1,2.0,3.0,16.0,1.0,0.0,False
51465,8,12,False,1.267949,2,True,False,6.0,1,2.0,2.0,8.0,0.0,0.0,False
53673,8,12,True,2.0,5,True,True,8.0,1,1.0,2.0,1440.0,1.0,0.0,False
53886,8,15,True,3.0,4,True,True,8.0,1,1.0,2.0,720.0,1.0,0.0,False
182,9,15,False,2.0,6,False,True,9.0,2,2.0,2.0,10080.0,0.0,0.0,False
234,9,30,False,5.0,3,False,True,9.0,5,2.0,2.0,2880.0,0.0,0.0,False
306,9,21,False,3.0,5,False,True,9.0,3,2.0,2.0,4320.0,0.0,0.0,False
370,9,27,True,6.0,6,True,True,9.0,2,1.0,1.0,1296.0,0.0,1.0,True
374,9,30,False,6.0,2,False,True,9.0,3,2.0,2.0,288.0,0.0,0.0,False
376,9,33,False,6.0,2,False,True,9.0,6,2.0,2.0,4320.0,0.0,0.0,False
394,9,32,False,7.0,4,False,True,9.0,4,2.0,2.0,384.0,0.0,0.0,False
396,9,35,False,7.0,1,False,True,9.0,7,2.0,2.0,10080.0,0.0,0.0,False
398,9,36,True,9.0,8,True,True,9.0,8,1.0,1.0,362880.0,0.0,1.0,True
408,9,20,True,4.0,4,True,True,9.0,1,1.0,2.0,2880.0,1.0,0.0,False
410,9,26,False,4.0,4,False,True,9.0,4,2.0,2.0,2880.0,0.0,0.0,False
506,9,9,True,0.467911,2,True,True,3.879385,2,1.0,1.0,18.0,0.0,1.0,True
682,9,8,True,1.0,7,True,True,9.0,1,1.0,2.0,40320.0,1.0,0.0,False
6607,9,18,True,3.0,4,True,True,6.0,4,1.0,1.0,72.0,0.0,1.0,True
33503,9,18,False,2.0,1,False,True,6.0,3,2.0,2.0,12.0,0.0,1.0,False
49474,9,12,False,1.267949,2,True,False,5.0,1,2.0,2.0,12.0,0.0,0.0,False
52391,9,12,False,1.0,2,True,False,6.0,1,2.0,3.0,8.0,1.0,0.0,False
53008,9,14,True,2.0,6,True,True,9.0,1,1.0,2.0,10080.0,1.0,0.0,False
53732,9,18,False,2.120615,2,False,True,6.0,2,2.0,1.0,18.0,0.0,1.0,False
53887,9,18,True,3.0,5,True,True,9.0,1,1.0,2.0,4320.0,1.0,0.0,False
54385,9,12,True,1.267949,2,True,True,6.0,1,1.0,2.0,48.0,1.0,0.0,False
56045,9,12,False,1.0,1,False,True,4.732051,2,2.0,2.0,12.0,0.0,0.0,False
34,10,9,True,1.0,8,True,True,10.0,1,1.0,2.0,362880.0,1.0,0.0,False
92,10,30,False,4.0,5,False,True,10.0,4,2.0,2.0,17280.0,0.0,0.0,False
134,10,37,False,7.0,4,False,True,10.0,3,3.0,2.0,576.0,0.0,0.0,False
136,10,42,False,7.0,2,False,True,10.0,7,2.0,2.0,30240.0,0.0,0.0,False
148,10,40,True,8.0,5,True,True,10.0,4,1.0,1.0,3840.0,0.0,1.0,True
150,10,44,False,8.0,1,False,True,10.0,8,2.0,2.0,80640.0,0.0,0.0,False
152,10,45,True,10.0,9,True,True,10.0,9,1.0,1.0,3628800.0,0.0,1.0,True
250,10,17,False,2.0,7,False,True,10.0,2,2.0,2.0,80640.0,0.0,0.0,False
252,10,25,True,5.0,8,True,True,10.0,1,1.0,1.0,28800.0,1.0,1.0,True
254,10,35,False,5.0,4,False,True,10.0,5,2.0,2.0,14400.0,0.0,0.0,False
512,10,24,False,3.0,6,False,True,10.0,3,2.0,2.0,30240.0,0.0,0.0,False
644,10,10,True,0.381966,2,True,True,4.0,1,1.0,1.0,20.0,1.0,1.0,True
652,10,33,False,6.0,3,False,True,10.0,2,2.0,2.0,1728.0,0.0,0.0,False
654,10,39,False,6.0,3,False,True,10.0,6,2.0,2.0,17280.0,0.0,0.0,False
660,10,15,True,2.0,5,True,True,5.0,4,1.0,1.0,120.0,0.0,1.0,True
1254,10,12,True,1.0,3,True,True,5.0,1,1.0,2.0,24.0,1.0,0.0,False
